STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-02-2017,12.53,770,1713,0,38,48,27,270,270,21.9,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-02-2017,11.86,5762,577,0,40,47,32,290,290,25.1,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-02-2017,13.2,441,943,0,32,34,26,310,280,29.1,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-02-2017,14.99,9042,470,0,29,35,23,320,290,30,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-02-2017,12.97,3161,1146,0,35,42,30,210,210,25.1,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-02-2017,10.74,6273,86,0,42,48,36,300,290,21.9,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-02-2017,6.93,5043,274,0.1,40,44,35,30,30,16.1,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-02-2017,8.72,8209,485,0,48,65,39,360,350,19.9,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-02-2017,23.04,8866,1064,0.74,35,44,19,310,300,38,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-02-2017,16.11,5425,1239,0,24,31,20,270,270,23.9,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-02-2017,6.93,280,1155,0,37,45,30,210,210,16.1,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-02-2017,10.74,7070,555,0.4,36,37,32,60,330,21,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-02-2017,25.72,4646,1642,0,37,39,31,300,300,44.1,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-02-2017,11.41,1571,1063,0,33,38,28,310,330,21,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-02-2017,10.74,5485,1441,0,38,46,31,300,310,30,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-02-2017,22.15,8830,410,0,35,39,29,320,330,30,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-02-2017,14.54,8274,408,0,33,44,27,320,320,25.9,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-02-2017,7.16,3976,2109,0,41,53,30,220,220,15,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-02-2017,11.41,7350,461,0,55,68,46,290,300,23,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-02-2017,13.2,92,693,0,52,56,38,40,40,21.9,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-02-2017,8.5,9303,829,0,40,45,31,210,154,12.1,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-02-2017,5.82,7926,1012,0,44,51,39,170,109,10.1,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-02-2017,5.37,8352,873,0,45,57,38,200,200,16.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-02-2017,11.18,4758,370,0,52,62,45,180,180,25.9,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-02-2017,11.86,8872,484,0.34,53,63,47,320,290,28,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",26-02-2017,18.57,7780,450,0,44,47,37,310,300,29.1,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",27-02-2017,12.3,3421,990,0,41,52,32,190,190,23.9,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",28-02-2017,6.26,8642,272,0,48,58,43,150,180,16.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-03-2017,11.63,2813,2246,0.01,51,61,48,190,190,25.1,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-03-2017,25.5,9545,691,0,52,62,37,280,290,40.9,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-03-2017,18.34,3288,1701,0,37,42,25,300,300,33.1,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-03-2017,20.8,2533,1217,0,27,34,18,300,310,35.1,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-03-2017,13.65,3505,358,0,24,38,16,330,330,25.1,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-03-2017,8.05,9569,243,0,32,42,22,190,190,16.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-03-2017,10.51,6863,1545,0.11,44,50,42,190,180,21.9,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-03-2017,16.55,2171,225,0.05,52,61,46,290,290,25.9,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-03-2017,19.46,8571,223,0,55,64,46,270,270,32,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-03-2017,17.45,4285,1690,0.26,42,49,24,310,300,36,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-03-2017,18.57,1817,676,0,25,29,18,310,320,33.1,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-03-2017,18.34,9482,61,0,25,32,20,310,270,28,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-03-2017,9.17,9575,299,0,26,34,20,310,300,21,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-03-2017,24.61,4611,1942,1.94,32,36,23,40,40,38.9,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-03-2017,21.25,6155,1446,0,25,28,22,290,290,32,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-03-2017,17.22,6793,1401,0,30,40,25,290,290,28,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-03-2017,13.2,1296,1728,0,36,45,30,240,290,21,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-03-2017,10.96,1472,1004,0.07,36,40,28,40,40,21.9,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-03-2017,14.54,7082,1118,0,40,48,35,20,30,23,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-03-2017,12.53,6155,98,0,43,55,35,340,360,21,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-03-2017,9.17,9647,1496,0,49,57,42,210,210,16.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-03-2017,23.49,4259,777,0,42,50,24,320,300,38,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-03-2017,11.63,7015,777,0,31,44,23,320,320,21,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-03-2017,13.87,1061,1820,0,40,49,32,190,190,23,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-03-2017,8.72,7787,1357,0.01,51,62,42,40,40,19.9,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",26-03-2017,12.08,9251,1942,0.14,42,43,39,70,90,21,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",27-03-2017,6.04,5635,2292,0.19,45,58,40,220,60,12.1,15
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",28-03-2017,8.28,9547,1466,0.93,47,49,42,80,80,21,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",29-03-2017,16.33,4051,2186,0,49,61,42,330,330,25.9,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",30-03-2017,9.62,3727,126,0.01,43,50,37,200,10,17,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",31-03-2017,16.11,4086,1777,2.07,41,42,39,70,70,31.1,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-04-2017,16.55,7952,2074,0.01,42,47,38,20,30,25.9,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-04-2017,12.53,365,702,0,50,65,40,330,320,25.9,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-04-2017,8.72,2844,1857,0.03,53,59,42,130,120,23,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-04-2017,10.51,6380,2358,1.05,50,54,46,130,120,29.1,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-04-2017,7.61,7177,624,0,49,60,44,110,100,19.9,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-04-2017,16.11,8623,1681,0.96,46,54,42,80,100,29.1,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-04-2017,20.36,1555,1170,0,48,52,41,280,290,28,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-04-2017,17,3978,1029,0,47,58,41,320,270,28,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-04-2017,10.51,2937,1214,0,51,61,40,180,180,25.1,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-04-2017,11.41,7056,350,0,52,62,43,190,190,25.9,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-04-2017,6.71,5834,1764,0,56,66,47,180,180,19.9,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-04-2017,6.93,925,824,0.05,60,73,52,310,310,21.9,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-04-2017,12.53,1627,1171,0,56,66,49,330,320,23.9,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-04-2017,7.61,2190,1358,0,54,60,47,180,190,16.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-04-2017,11.18,7557,2007,0,51,58,44,170,180,23.9,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-04-2017,13.2,191,540,0.01,64,83,51,280,270,36.9,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-04-2017,14.99,588,1162,0,70,76,58,340,350,29.1,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-04-2017,12.75,3299,2102,0,58,62,47,140,150,21,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-04-2017,12.53,5023,1985,0,48,52,45,130,150,21,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-04-2017,6.49,5692,1002,0.17,54,64,50,110,100,17,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-04-2017,9.17,7122,985,0.03,53,58,49,100,90,21,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-04-2017,7.83,8809,1867,0.11,53,58,50,360,360,21,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-04-2017,11.18,7643,1574,0,53,61,47,360,350,18.1,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-04-2017,7.38,7821,1294,0.01,51,57,44,80,70,15,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-04-2017,17,727,2214,0.98,54,59,51,60,60,25.9,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",26-04-2017,8.72,1139,1255,0.48,57,62,54,30,30,21,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",27-04-2017,7.61,6673,1566,0.01,60,65,56,140,140,17,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",28-04-2017,6.49,6708,634,0,62,74,55,180,180,19.9,23
